ID;Min_EKG;Max_EKG;Mean_EKG;STDEV_EKG;Min_GSR;Max_GSR;Mean_GSR;STDEV_GSR;Min_Tep;Max_Tep;Mean_Tep;STDEV_Tep;Label
1_h;171;650;407.7773585;137.9069716;132;460;309.290566;95.51988184;37.15;39.1;38.10392453;0.564671796;Neutral
2_h;170;650;420.8264151;140.36805;130;460;291.3433962;94.78651753;35.68;37.63;36.63256604;0.557220697;Negative
3_h;174;649;411.7660377;136.4129411;131;456;294.4339623;93.50516706;37.16;38.61;37.87818868;0.415848578;Neutral
4_h;171;650;414.3962264;145.2132105;139;460;299.1849057;97.55561622;36.75;37.12;36.92860377;0.112905555;Neutral
5_h;170;650;415.0490566;141.3125212;131;458;277.8;97.85394961;36.75;37.12;36.94886792;0.111699346;Negative
6_h;171;648;400.7886792;143.7885675;131;459;293.6566038;96.92069061;36.75;38.09;36.94826415;0.126918632;Negative
7_h;173;650;424.3132075;144.3931791;130;460;293.6188679;95.47656593;36.95;37.25;37.08856604;0.091375331;Negative
8_h;170;650;417.8716981;138.1298472;130;460;294.7811321;93.46647644;37.05;37.95;37.48060377;0.267204264;Negative
9_h;176;644;400.3698113;134.9110504;132;459;295.6943396;89.54392526;37.15;38.61;37.89483019;0.297241213;Neutral
10_h;172;650;408.4528302;144.5585189;131;460;284.5169811;97.25049999;37.05;37.95;37.49441509;0.264437183;Negative
11_h;171;648;405.4641509;140.7800228;130;460;294.3962264;96.25745536;36.77;37.95;37.4934717;0.258087415;Negative
12_h;170;649;419.3245283;132.7282495;130;459;289.4830189;94.42582012;36.66;38.12;37.34649057;0.328829629;Neutral
13_h;171;649;413.290566;141.7902397;132;460;292.6867925;91.94697508;36.52;37.95;37.5045283;0.264142165;Negative
14_h;170;642;392.2226415;128.6176779;130;459;294.3735849;96.97398931;36.8;36.95;36.87418868;0.047778314;Negative
15_h;171;649;415.6075472;131.9258743;132;460;295.2150943;92.35932669;37.2;37.35;37.27403774;0.044533764;Neutral
16_h;170;648;406.4754717;135.6748298;132;459;308.1245283;99.55569651;36.2;36.8;36.50784906;0.17581492;Negative
17_h;172;650;405.1396226;146.785788;132;460;292.8792453;98.72728231;35.8;36.1;35.9489434;0.088165309;Neutral
18_h;171;650;401.4603774;136.8390981;130;459;286.3886792;95.40418337;37.1;37.8;37.44630189;0.205069979;Negative
19_h;173;649;400.8830189;139.8673258;130;460;296.4377358;94.76000832;35.12;36.8;35.95437736;0.498801299;Negative
20_h;170;648;427.3735849;138.5413735;132;460;297.909434;97.19563656;35.1;36.8;35.95860377;0.50687091;Neutral
1_n;70;650;365.8418367;176.0496156;152;500;327.0102041;96.67784143;35.78;38.87;37.29658163;0.879028046;Neutral
2_n;70;650;336.4183673;168.4902446;155;498;337.0204082;99.53811069;35.78;37.25;36.46326531;0.454150716;Neutral
3_n;70;647;366.2806122;169.1664567;153;500;329.8010204;103.0063289;36.78;37.54;37.13107143;0.220005536;Positive
4_n;73;649;359.7040816;163.6148203;153;500;341.2653061;97.44942683;35.78;37.65;36.73484694;0.554045705;Positive
5_n;71;649;365.9285714;169.3484498;151;500;322.0663265;100.7767306;35.83;37.65;36.81739796;0.552235424;Neutral
6_n;71;650;367.75;163.3261131;150;498;322.0357143;92.81884065;35.78;37.63;36.68454082;0.524940332;Positive
7_n;85;646;363.0357143;160.5737589;158;495;323.1989796;96.14799596;35.78;37.65;36.71607143;0.528426183;Positive
8_n;70;644;360.3367347;169.7437552;152;500;336.5255102;97.78634146;35.78;37.65;36.77387755;0.529862358;Positive
9_n;77;646;373.9591837;171.0055881;152;498;319.3367347;94.19373858;35.78;37.65;36.715;0.525874607;Positive
10_n;70;648;355.0714286;167.8623826;151;499;320.0102041;100.9382644;35.78;37.65;36.62663265;0.519689146;Positive
11_n;70;649;348.6887755;174.3938663;154;494;338.9540816;100.2623888;35.78;37.65;36.74081633;0.522872095;Positive
12_n;84;648;338.3826531;161.0296087;151;499;326.122449;99.45469427;35.78;37.65;36.70280612;0.543715407;Positive
13_n;72;648;372.3520408;172.3450431;151;500;327.6173469;98.69586282;35.8;37.65;36.65943878;0.565106018;Neutral
14_n;70;642;347.3112245;167.798353;151;499;327.0204082;97.42520914;35.79;37.65;36.72831633;0.528994908;Positive
15_n;73;648;385.6887755;164.6856215;151;500;325.0306122;101.9921017;35.78;37.65;36.72260204;0.559468488;Positive
16_n;75;650;358.4285714;182.1816225;152;500;340.4795918;99.45757808;35.78;37.64;36.69704082;0.538336868;Positive
17_n;70;643;360.6836735;166.6644777;151;500;320.7040816;100.0221728;35.78;37.64;36.73352041;0.552163442;Neutral
18_n;71;650;362.8214286;180.4575772;151;500;332.5969388;101.2340056;35.79;37.65;36.72158163;0.55728467;Neutral
19_n;72;650;361.0153061;160.9683351;150;497;326.7806122;106.2105207;35.78;37.62;36.70959184;0.516078742;Positive
20_n;70;645;340.7959184;171.376177;152;495;323.5255102;101.8561296;35.79;37.64;36.76346939;0.540504232;Positive
1_neu;156;638;379.4677419;140.4907929;154;447;299.3548387;94.64170515;35.79;38.84;37.41483871;0.888606834;Neutral
2_neu;151;641;405.5483871;152.1279312;150;449;318.016129;95.61920582;35.8;37.25;36.51354839;0.428057361;Neutral
3_neu;174;650;400.983871;133.5169286;158;447;301.1129032;87.85981846;36.81;37.53;37.13306452;0.203498811;Positive
4_neu;158;645;406.7419355;131.607456;153;440;294.0322581;92.76569599;35.78;37.63;36.71290323;0.503415831;Positive
5_neu;151;644;403.5322581;135.5769357;152;448;289.8870968;99.2111682;35.79;37.62;36.74951613;0.546111222;Negative
6_neu;170;641;410.0806452;137.5507416;153;450;294.6290323;90.39099655;35.79;37.63;36.70532258;0.513473283;Positive
7_neu;159;625;391;146.8368114;151;450;313.0967742;86.43555539;35.81;37.63;36.67225806;0.514849713;Positive
8_neu;154;650;403.483871;161.1532965;151;448;308.2419355;86.50607588;35.82;37.62;36.63854839;0.50445506;Positive
9_neu;167;641;404.0322581;152.2585127;155;435;276.6290323;83.89009865;35.8;37.64;36.69709677;0.5513185;Neutral
10_neu;151;640;409.5806452;153.0370734;156;450;335.8225806;84.25420633;35.8;37.63;36.73983871;0.53917816;Positive
11_neu;199;639;389.9354839;137.0590241;153;450;316.4354839;84.07034934;35.79;37.49;36.59403226;0.516445797;Neutral
12_neu;153;650;404.2903226;159.5783776;161;444;312.9032258;84.69128309;35.89;37.64;36.74887097;0.53045327;Positive
13_neu;152;649;438.9677419;152.9240643;150;442;286.5645161;87.34567111;35.78;37.65;36.7233871;0.582388929;Neutral
14_neu;151;648;404.7258065;144.9945357;152;448;313.2580645;87.59911211;35.81;37.65;36.69209677;0.59627845;Positive
15_neu;157;639;384.8870968;138.5825321;151;435;281.0806452;86.70551222;35.79;37.59;36.72435484;0.493700052;Positive
16_neu;153;650;404.3870968;138.1620995;150;447;307.8548387;85.60715589;35.81;37.65;36.81241935;0.567928896;Positive
17_neu;160;643;384.4516129;152.308539;153;444;306.1774194;85.9028281;35.84;37.64;36.68370968;0.495763144;Neutral
18_neu;161;648;406.5322581;142.1815646;158;449;306.4193548;83.08390947;35.84;37.64;36.58790323;0.499288468;Neutral
19_neu;151;649;429.1935484;147.1159728;159;447;289.1774194;92.72054332;35.79;37.64;36.67596774;0.577119642;Positive
20_neu;154;637;391.2741935;147.2781654;150;447;321.7741935;84.9148888;35.79;37.65;36.71903226;0.575632823;Positive
